(u'xfinity.com', 'mx.comcast-xfinity.community.', 'mx.comcast-xfinity.community', 'combo', '62.149.128.160')
(u'xfinity.com', 'xfiniti.org.', 'xfiniti.org', u'bits', '165.160.13.20')
(u'xfinity.com', 'xfinity.co.', 'xfinity.co', 'wrongTLD', '165.160.13.20')
(u'xfinity.com', 'xf9nity.net.', 'xf9nity.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xdinity.net.', 'xdinity.net', u'bits', '165.160.13.20')
(u'xfinity.com', 'xfiniy.net.', 'xfiniy.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xinity.net.', 'xinity.net', u'typo', '85.10.195.6')
(u'xfinity.com', 'xfinity.de.', 'xfinity.de', 'wrongTLD', '82.165.2.220')
(u'xfinity.com', 'xfinith.com.', 'xfinith.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfin8ty.com.', 'xfin8ty.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'yfinity.com.', 'yfinity.com', u'bits', '69.172.201.153')
(u'xfinity.com', 'xfiniti.net.', 'xfiniti.net', u'bits', '165.160.13.20')
(u'xfinity.com', 'mx.comcast-xfinity.community.', 'mx.comcast-xfinity.community', 'combo', '62.149.128.163')
(u'xfinity.com', 'xfinity-dnssec.org.', 'xfinity-dnssec.org', 'combo', '68.87.64.48')
(u'xfinity.com', 'xfinnity.com.', 'xfinnity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'comcast-xfinity.community.', 'comcast-xfinity.community', 'combo', '62.149.128.72')
(u'xfinity.com', 'xfinirty.com.', 'xfinirty.com', u'typo', '185.53.178.8')
(u'xfinity.com', 'xfinitys.com.', 'xfinitys.com', u'typo', '184.168.221.42')
(u'xfinity.com', 'xfjnity.net.', 'xfjnity.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinoity.com.', 'xfinoity.com', u'typo', '199.59.242.150')
(u'xfinity.com', 'xfinty.net.', 'xfinty.net', u'typo', '74.117.114.72')
(u'xfinity.com', 'finity.solutions.', 'finity.solutions', u'typo', '104.31.71.53')
(u'xfinity.com', 'xfinit6.com.', 'xfinit6.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfiniy.com.', 'xfiniy.com', u'typo', '165.160.13.20')
(u'xfinity.com', 'xf9nity.com.', 'xf9nity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'comcast-xfinity.community.', 'comcast-xfinity.community', 'combo', '62.149.128.74')
(u'xfinity.com', 'xdinity.com.', 'xdinity.com', u'bits', '165.160.13.20')
(u'xfinity.com', 'xfinit7.net.', 'xfinit7.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfimity.net.', 'xfimity.net', u'homo', '165.160.13.20')
(u'xfinity.com', 'mx.comcast-xfinity.community.', 'mx.comcast-xfinity.community', 'combo', '62.149.128.166')
(u'xfinity.com', 'xfinity-dnssec.net.', 'xfinity-dnssec.net', 'combo', '68.87.64.48')
(u'xfinity.com', 'xf8nity.net.', 'xf8nity.net', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfinity.org.', 'xfinity.org', 'wrongTLD', '165.160.13.20')
(u'xfinity.com', 'xfjnity.com.', 'xfjnity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinity.mk.', 'xfinity.mk', 'wrongTLD', '79.143.190.221')
(u'xfinity.com', '800-xfinity.com.', '800-xfinity.com', 'combo', '69.64.147.243')
(u'xfinity.com', 'xfinit7.com.', 'xfinit7.com', u'typo', '165.160.13.20')
(u'xfinity.com', 'xfinity-tv.org.', 'xfinity-tv.org', 'combo', '165.160.13.20')
